PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  163.0 kWdc PV  /  Battery Energy 176.8 kWh and Power 42.39 kW"
,"Standard Design PV Capacity: 163.0 kWdc  /  Battery System Capacity: 176.8 kWh  (power 42.39 kW)"
,"User-specified PV and Battery equipment:  207.1 kWdc PV  /  184.0 kWh Battery"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,Grocery,Highrise Multifamily,"Office, Financial, Unleased Tenant",Retail,School,Warehouse,Other,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"A4.2-R_323","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",881.525,1,,881.525,,,,,,,1,,,1.94817,2.11223,0.506524,
"A7_321","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1066.98,1,,1066.98,,,,,,,1,,,2.35803,2.5566,0.613087,
"B4_314","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1106.43,1,,1106.43,,,,,,,1,,,2.44521,2.65112,0.635755,
"A4_312","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",820.762,1,,820.762,,,,,,,1,,,1.81388,1.96663,0.47161,
"A4_305","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",820.762,1,,820.762,,,,,,,1,,,1.81388,1.96663,0.47161,
"A4_303","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",820.762,1,,820.762,,,,,,,1,,,1.81388,1.96663,0.47161,
"A4.2_302","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",881.525,1,,881.525,,,,,,,1,,,1.94817,2.11223,0.506524,
"B3-R_422","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1278.06,1,,1278.06,,,,,,,1,,,2.82451,3.06237,0.734373,
"B2.4_420","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1189.25,1,,1189.25,,,,,,,1,,,2.62824,2.84957,0.683343,
"B3-R_419","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1278.06,1,,1278.06,,,,,,,1,,,2.82451,3.06237,0.734373,
