PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  195.3 kWdc PV  /  Battery Energy 220.4 kWh and Power 52.79 kW"
,"Standard Design PV Capacity: 195.3 kWdc  /  Battery System Capacity: 186.8 kWh  (power 44.75 kW)"
,"User-specified PV and Battery equipment:  211.5 kWdc PV  /  246.0 kWh Battery"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,Grocery,Highrise Multifamily,"Office, Financial, Unleased Tenant",Retail,School,Warehouse,Other,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"B2.1_214","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"A2.1-R_209","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"A2.1-R_207","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"A2.1-R_206","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"A2.1_205","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"A2.2_203","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"B3.1-R_201","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1291.49,1,,1291.49,,,,,,,1,,,2.85419,3.09455,0.74209,
"B3_202","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1291.49,1,,1291.49,,,,,,,1,,,2.85419,3.09455,0.74209,
"A2-R_225","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"B2_227","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"B3.1_228","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1291.49,1,,1291.49,,,,,,,1,,,2.85419,3.09455,0.74209,
"B2.2-R_219","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"B2.2_217","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"B2.2_215","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"A1-R_213","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",730.529,1,,730.529,,,,,,,1,,,1.61447,1.75042,0.419762,
"B1_204","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1017.07,1,,1017.07,,,,,,,1,,,2.24772,2.43701,0.584408,
"A1_221","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",730.529,1,,730.529,,,,,,,1,,,1.61447,1.75042,0.419762,
"B1.1-R_226","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1017.07,1,,1017.07,,,,,,,1,,,2.24772,2.43701,0.584408,
"A4_323","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4-R_322","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4_320","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4-R_318","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4_316","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A7_314","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1063.27,1,,1063.27,,,,,,,1,,,2.34983,2.54771,0.610955,
"A4-R_310","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4-R_312","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"B2.1_314","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"A2.1-R_309","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"A2.1-R_307","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"A2.1-R_306","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"A2.1_305","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"A2.2_303","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"B3.1-R_301","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1291.49,1,,1291.49,,,,,,,1,,,2.85419,3.09455,0.74209,
"B3_302","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1291.49,1,,1291.49,,,,,,,1,,,2.85419,3.09455,0.74209,
"A2-R_325","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"B2_327","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"B3.1_328","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1291.49,1,,1291.49,,,,,,,1,,,2.85419,3.09455,0.74209,
"B2.2-R_319","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"B2.2_317","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"B2.2_315","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"A1-R_313","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",730.529,1,,730.529,,,,,,,1,,,1.61447,1.75042,0.419762,
"B1_304","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1017.07,1,,1017.07,,,,,,,1,,,2.24772,2.43701,0.584408,
"A1_321","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",730.529,1,,730.529,,,,,,,1,,,1.61447,1.75042,0.419762,
"B1.1-R_326","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1017.07,1,,1017.07,,,,,,,1,,,2.24772,2.43701,0.584408,
"A4_423","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4-R_422","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4_420","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4-R_418","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4_416","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A7_414","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1063.27,1,,1063.27,,,,,,,1,,,2.34983,2.54771,0.610955,
"A4-R_410","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"A4-R_412","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",815.858,1,,815.858,,,,,,,1,,,1.80305,1.95488,0.468792,
"B2.1_414","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"A2.1-R_409","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"A2.1-R_407","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"A2.1-R_406","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"A2.1_405","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"A2.2_403","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"B3.1-R_401","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1291.49,1,,1291.49,,,,,,,1,,,2.85419,3.09455,0.74209,
"B3_402","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1291.49,1,,1291.49,,,,,,,1,,,2.85419,3.09455,0.74209,
"A2-R_425","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",798.766,1,,798.766,,,,,,,1,,,1.76527,1.91393,0.458971,
"B2_427","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"B3.1_428","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1291.49,1,,1291.49,,,,,,,1,,,2.85419,3.09455,0.74209,
"B2.2-R_419","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"B2.2_417","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"B2.2_415","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1180.23,1,,1180.23,,,,,,,1,,,2.60831,2.82796,0.67816,
"A1-R_413","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",730.529,1,,730.529,,,,,,,1,,,1.61447,1.75042,0.419762,
"B1_404","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1017.07,1,,1017.07,,,,,,,1,,,2.24772,2.43701,0.584408,
"A1_421","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",730.529,1,,730.529,,,,,,,1,,,1.61447,1.75042,0.419762,
"B1.1-R_426","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1017.07,1,,1017.07,,,,,,,1,,,2.24772,2.43701,0.584408,
,,,,,Sums:,0,82718.6,4003.13,0,0,0,0,0,82,0,,195.338,220.36,52.7926,
,,Bldg Cond Area:,86721.7,,Pcts:,0.0,95.4,4.6,0.0,0.0,0.0,0.0,0.0,,0.0,
